2024-07-01 07:45:44 | INFO     | DF | Running on torch 2.3.0+cu121
2024-07-01 07:45:44 | INFO     | DF | Running on host cvlab
2024-07-01 07:45:44 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 07:46:11 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 07:46:54 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 07:46:54 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 07:46:54 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 07:46:54 | INFO     | DF | Running on device cuda:0
2024-07-01 07:46:54 | INFO     | DF | Model loaded
2024-07-01 09:02:20 | INFO     | DF | Running on torch 2.3.0+cu121
2024-07-01 09:02:20 | INFO     | DF | Running on host cvlab
2024-07-01 09:02:20 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 09:02:20 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 09:02:20 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 09:02:20 | INFO     | DF | Running on device cuda:0
2024-07-01 09:02:20 | INFO     | DF | Model loaded
2024-07-01 09:27:23 | INFO     | DF | Running on torch 2.3.0+cu121
2024-07-01 09:27:23 | INFO     | DF | Running on host cvlab
2024-07-01 09:27:23 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 09:27:23 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 09:27:23 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 09:27:24 | INFO     | DF | Running on device cuda:0
2024-07-01 09:27:24 | INFO     | DF | Model loaded
2024-07-01 09:45:21 | INFO     | DF | Running on torch 2.3.0+cu121
2024-07-01 09:45:21 | INFO     | DF | Running on host cvlab
2024-07-01 09:45:21 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 09:45:21 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 09:45:22 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 09:45:22 | INFO     | DF | Running on device cuda:0
2024-07-01 09:45:22 | INFO     | DF | Model loaded
2024-07-01 10:20:18 | INFO     | DF | Running on torch 2.3.0+cu121
2024-07-01 10:20:18 | INFO     | DF | Running on host cvlab
2024-07-01 10:20:18 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 10:20:18 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 10:20:18 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 10:20:18 | INFO     | DF | Running on device cuda:0
2024-07-01 10:20:18 | INFO     | DF | Model loaded
2024-07-01 10:20:59 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 10:20:59 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 10:20:59 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 10:20:59 | INFO     | DF | Running on device cuda:0
2024-07-01 10:20:59 | INFO     | DF | Model loaded
2024-07-01 10:22:08 | INFO     | DF | Running on torch 2.3.0+cu121
2024-07-01 10:22:08 | INFO     | DF | Running on host cvlab
2024-07-01 10:22:08 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 10:22:08 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 10:22:09 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 10:22:09 | INFO     | DF | Running on device cuda:0
2024-07-01 10:22:09 | INFO     | DF | Model loaded
2024-07-01 10:24:51 | INFO     | DF | Running on torch 2.3.0+cu121
2024-07-01 10:24:51 | INFO     | DF | Running on host cvlab
2024-07-01 10:24:51 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 10:24:51 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 10:24:52 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 10:24:52 | INFO     | DF | Running on device cuda:0
2024-07-01 10:24:52 | INFO     | DF | Model loaded
2024-07-01 10:25:44 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 10:25:44 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 10:25:44 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 10:25:44 | INFO     | DF | Running on device cuda:0
2024-07-01 10:25:44 | INFO     | DF | Model loaded
2024-07-01 10:25:50 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 10:25:50 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 10:25:51 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 10:25:51 | INFO     | DF | Running on device cuda:0
2024-07-01 10:25:51 | INFO     | DF | Model loaded
